ФИО;Пол;Дата рождения;СНИЛС
Орачевская;Маргарита;Вадимовна;104-720-763 14;08.08.1945
Ярополова;Лариса;Романовна;933-732-684 67;19.07.1945
Сидичкина;Полина;Максимовна;236-424-572 21;27.11.2004
Садченкова;Наталья;Евгеньевна;558-085-985 35;21.10.1966
Русалова;Надежда;Евгеньевна;668-954-842 77;30.10.1995
Вицентьева;Клара;Кирилловна;510-229-587 92;30.04.2000
Патранина;Катерина;Вадимовна;461-150-416 65;28.07.1971
Февралева;Жанна;Дмитриевна;616-382-617 42;19.09.1981
Кончилова;Вероника;Эдуардовна;918-636-891 96;16.06.1988
Несяева;Елена;Валерьевна;988-761-974 19;09.07.2003
Кивотова;Галина;Игоревна;718-269-282 60;23.10.1988
Табакина;Софья;Игоревна;499-049-639 16;17.12.1977
Труханкина;Кристина;Андреевна;983-603-113 36;21.02.1959
Сурыкина;Любовь;Кирилловна;651-427-175 32;09.02.1952
Окуловская;Яна;Борисовна;763-723-229 31;05.05.1999
Аксаитова;Лиза;Михайловна;891-394-122 76;26.10.1988
Толобаева;Раиса;Викторовна;183-986-910 50;10.02.1967
Поташкина;Кристина;Игоревна;330-028-255 99;25.02.1999
Пиралова;Кристина;Викторовна;423-767-379 30;22.08.2003
Лавнеева;Ольга;Романовна;420-462-808 36;03.09.1977
Дрецкина;Елизавета;Ивановна;922-864-468 04;22.08.1989
Гамаева;Анастасия;Дмитриевна;876-663-587 26;08.12.1957
Титчева;Евгения;Вадимовна;882-468-473 79;06.02.1947
Володюхина;Валерия;Викторовна;042-751-017 72;10.07.1954
Скорпукова;Лиза;Дмитриевна;684-867-086 02;25.01.2004
Качанова;Зинаида;Максимовна;550-523-551 78;21.06.1952
Синачева;Инна;Андреевна;330-434-302 23;22.03.1943
Фоломеева;Надежда;Яковлевна;873-693-965 29;27.06.1943
Тыранова;Ева;Валерьевна;060-088-674 82;30.12.1945
Колинеева;Анна;Борисовна;604-213-475 14;27.11.1948
Яганина;Марина;Дмитриевна;128-384-911 20;01.01.1989
Хевролина;Алиса;Олеговна;882-533-403 62;12.05.1985
Мазавин;Руслан;Михаилович;602-948-632 41;23.06.1974
Тррошин;Максим;Адамович;448-216-875 89;06.03.1944
Исаков;Федор;Антонович;278-101-496 42;20.06.1972
Содомов;Алексей;Михаилович;319-498-418 94;15.02.1980
Куроцомов;Евгений;Антонович;037-114-766 53;03.06.1969
Тореханов;Владимир;Валериевич;337-638-171 22;08.02.1995
Мамистов;Валерий;Алексиевич;254-494-779 55;30.03.1997
Бойнов;Анатолий;Андреевич;672-687-343 51;12.03.1974
Лезжов;Леонид;Петрович;198-889-432 80;08.08.2008
Шиконин;Семён;Алексеевич;378-779-964 63;16.10.1945
Аборников;Эдуард;Борисович;646-200-910 32;10.10.1997
Гужиков;Анатолий;Петрович;266-493-018 23;14.04.1954
Некляев;Пётр;Кириллович;653-142-769 88;20.02.1969
Слещев;Михаил;Борисович;169-884-345 76;26.03.1969
Кринецкий;Максим;Виталиевич;116-289-859 60;08.12.1983
Мишинкин;Артём;Юриевич;593-872-297 10;08.07.1956
Катюлин;Ярослав;Аркадиевич;515-024-209 78;01.07.1983
Лимков;Артём;Романович;271-481-696 01;04.05.1947
Сшилазов;Борис;Борисович;707-736-249 78;28.11.1991
Позднин;Георгий;Игоревич;084-353-898 41;28.10.1961
Вишнягов;Николай;Алексиевич;306-593-816 67;17.11.1960
Акулинчев;Герасим;Игоревич;231-194-757 86;24.01.1961
Бахалдин;Денис;Антонович;104-929-607 62;06.08.1985
Чикунов;Григорий;Николаевич;577-082-888 39;13.11.2006
Тушкин;Георгий;Викторович;362-256-445 32;22.02.1994
Ивенских;Валентин;Леонидович;447-188-483 89;18.09.2008
Куншиков;Денис;Сергеевич;775-758-989 13;26.10.1967
Касперов;Анатолий;Юриевич;793-244-772 49;15.05.1961
Баландаев;Борис;Фёдорович;142-024-227 69;15.11.1976
Подерин;Никита;Андреевич;653-542-538 49;22.05.1977
Гусаков;Ярослав;Вадимович;708-591-685 03;16.06.1998
Забавин;Александр;Юрьевич;379-112-814 94;13.07.2001
Леватов;Денис;Викторович;864-812-464 30;11.01.1953
Стрепихеев;Максим;Андреевич;599-224-634 26;16.12.1979
Талыкин;Евгений;Максимович;097-204-550 71;28.05.1983
Порубилкин;Григорий;Андреевич;793-675-010 50;18.10.1992
Лагутский;Ярослав;Алексеевич;029-457-156 53;30.11.1982
Галянов;Герасим;Виталиевич;026-987-326 75;03.02.1968
Дармодехин;Вячеслав;Валериевич;198-854-198 25;20.07.1956
Вихорнов;Валентин;Виталиевич;902-533-019 87;06.10.1969
Затольский;Алексей;Евгеньевич;588-493-939 47;22.09.1954
Курханов;Игорь;Адамович;350-455-139 34;12.01.1973
Костогоров;Владимир;Алексиевич;553-263-728 60;11.02.1946
Сяинов;Вадим;Сергеевич;308-229-779 41;26.07.1950
Карошин;Валерий;Юрьевич;388-220-072 56;27.12.1955
Чарунов;Максим;Петрович;951-454-167 44;28.09.1976
Саталов;Григорий;Виталиевич;163-017-178 42;04.04.1989
Агалецкий;Эдуард;Алексиевич;813-099-442 32;04.09.1993
Бассталов;Федор;Виталиевич;054-950-471 12;24.09.1997
Тахтаров;Герасим;Валериевич;694-644-736 75;26.10.1970
Мужжевлев;Виталий;Юриевич;760-036-875 74;09.03.1955
Дворяцкий;Дмитрий;Сергеевич;166-694-429 96;12.08.1949
Васияров;Виктор;Алексеевич;785-878-272 84;13.11.1992
Павмошин;Олег;Сергеевич;260-931-601 48;04.02.2000
Лазарин;Владимир;Кириллович;220-693-820 01;23.01.1947
Шурланов;Антон;Леонидович;075-865-512 15;07.04.1957
Мирянин;Игорь;Фёдорович;190-785-602 11;26.05.1943
Чухраев;Аркадий;Николаевич;249-919-599 82;13.06.1974
Кручаев;Кирилл;Виталиевич;259-477-586 38;04.08.1944
Лукгин;Степан;Алексиевич;133-748-421 97;05.10.1965
Спасибин;Денис;Игоревич;382-432-347 19;05.06.1966
Ланчев;Василий;Максимович;258-787-207 61;19.05.1992
Лахманов;Аркадий;Евгеньевич;539-772-811 20;12.11.1950
Рощевский;Семён;Павлович;286-690-362 27;17.06.1963
Фенцов;Георгий;Алексиевич;023-615-988 30;02.03.2003
Сергухин;Константин;Тимофеевич;103-880-439 61;04.09.1974
Кондрошов;Евгений;Яковлевич;702-159-179 87;06.04.2007
Комнев;Семён;Юриевич;869-047-444 38;31.03.2008
Менжуков;Александр;Юрьевич;440-905-683 57;06.01.1971
Озеракин;Григорий;Леонидович;648-950-819 92;20.06.1991
Яных;Григорий;Андреевич;942-445-737 70;15.12.1990
Пукалов;Олег;Алексиевич;562-995-222 15;16.08.1965
Панюмов;Анатолий;Кириллович;315-915-199 01;26.03.1974
Фатхинуров;Владимир;Викторович;371-526-243 89;16.05.1999
Тюдюкин;Андрей;Алексиевич;263-611-875 61;19.11.1947
Эльяшев;Антон;Юриевич;105-000-313 86;21.03.1956
Замахаев;Виктор;Фёдорович;953-929-800 18;13.02.1961
Аноченков;Тарас;Николаевич;688-908-637 05;18.02.1956
Файкин;Валерий;Георгиевич;633-138-558 81;04.11.1963
Корытников;Анатолий;Фёдорович;785-168-244 35;07.08.1985
Туранский;Дмитрий;Антонович;245-341-091 71;30.04.1955
Дубинкин;Константин;Викторович;432-807-339 59;05.03.1946
Дрибин;Альберт;Евгеньевич;446-169-475 93;05.06.1972
Шишов;Валентин;Евгеньевич;085-785-011 69;20.02.1951
Плюсов;Виталий;Иванович;770-939-558 27;26.03.1963
Томленов;Вячеслав;Антонович;919-942-621 04;17.03.1981
Барухов;Вадим;Кириллович;943-456-032 69;11.05.1976
Кирдушкин;Василий;Адамович;564-857-132 07;18.04.1947
Пшенкин;Герасим;Максимович;456-844-920 23;29.05.1967
Абилуллин;Яков;Алексиевич;227-163-236 01;29.04.1995
Касаев;Александр;Леонидович;229-141-566 38;18.05.1998
Батытин;Леонид;Сергеевич;918-415-852 38;21.12.1947
Крыкин;Борис;Фёдорович;722-146-595 76;19.12.1945
Темрюков;Вадим;Максимович;823-871-929 07;05.03.1954
Туктаев;Леонид;Игоревич;787-185-245 43;26.10.1947
Ярлов;Федор;Тимофеевич;927-150-883 52;09.03.2007
Клокатов;Вячеслав;Николаевич;859-422-333 80;04.01.1959
Ломков;Геннадий;Иванович;252-040-194 84;27.03.1965
Тогачев;Альберт;Фёдорович;216-482-445 33;19.11.2003
Муртазаев;Вадим;Андреевич;854-593-082 30;21.11.2005
Деблятов;Александр;Андреевич;518-055-953 58;10.06.1991
Телешин;Борис;Алексеевич;726-547-677 25;17.08.2006
Володяев;Анатолий;Яковлевич;120-513-642 72;11.06.1959
Кущевский;Пётр;Аркадиевич;403-418-663 40;27.01.2006
Чекалдин;Николай;Юрьевич;116-258-873 90;11.05.1965
Сукачев;Павел;Романович;035-759-752 82;27.10.2005
Чиченин;Борис;Адамович;068-418-333 06;26.04.1992
Посошков;Алексей;Данилович;161-994-892 24;19.01.1994
Фиоктистов;Вадим;Леонидович;742-680-799 48;06.09.1981
Митряев;Пётр;Игоревич;132-166-124 68;02.11.1990
Дубовецкий;Валентин;Фёдорович;445-033-580 90;12.02.1983
Замолотов;Станислав;Евгеньевич;064-019-929 91;01.09.1964
Витовцев;Яков;Викторович;731-505-264 97;27.03.1953
Плечкин;Иван;Тимофеевич;855-013-723 75;24.06.1962
Орский;Денис;Андреевич;744-429-194 63;22.08.1951
Кутыршин;Александр;Алексеевич;781-102-920 45;07.03.1996
Белашов;Аркадий;Леонидович;802-216-537 22;21.12.1955
Корьев;Виталий;Георгиевич;325-236-502 58;28.01.2003
Сурский;Федор;Кириллович;933-141-902 62;25.01.1952
Маринский;Павел;Яковлевич;455-486-301 76;03.04.1949
Церковский;Алексей;Михаилович;790-198-365 80;31.10.1962
Юрсков;Федор;Адамович;127-843-930 20;19.04.1993
Биржев;Аркадий;Георгиевич;429-434-631 95;08.07.1998
Кшенников;Алексей;Аркадиевич;470-804-753 30;17.06.2003
Цыцорин;Герасим;Валериевич;562-171-274 07;06.12.1961
Чепуркин;Игорь;Тимофеевич;477-960-921 30;29.10.1967
Шкурихин;Леонид;Георгиевич;455-757-723 57;03.03.1966
Фонинский;Георгий;Евгеньевич;644-634-849 10;04.08.1994
Игольницын;Станислав;Георгиевич;244-344-493 46;08.11.1968
Дрелин;Владимир;Георгиевич;482-878-411 19;22.07.1975
Атькин;Герасим;Вадимович;713-009-902 83;27.12.1992
Зефиров;Руслан;Иванович;136-062-143 56;20.09.1956
Гроколев;Артём;Викторович;832-714-462 05;30.04.2005
Дайдаков;Руслан;Георгиевич;763-430-639 47;20.05.1999
Смородинов;Геннадий;Георгиевич;032-287-878 46;01.05.1986
Паушкин;Федор;Павлович;380-845-585 96;20.05.1958
Завалеев;Яков;Алексеевич;148-743-296 85;02.04.2001
Павкин;Кирилл;Адамович;230-004-041 87;04.09.2003
Бармичев;Антон;Георгиевич;845-634-863 70;21.02.1949
Коненкин;Пётр;Алексеевич;610-649-273 44;02.12.1976
Бродолин;Олег;Максимович;145-186-764 84;31.12.1959
Хомахин;Иван;Алексеевич;046-004-296 26;23.08.1974
Местинев;Григорий;Василиевич;909-587-227 71;12.10.1981
Дицков;Вячеслав;Алексиевич;105-205-255 83;31.03.1944
Коптелев;Евгений;Данилович;292-077-274 47;15.08.1950
Чернецких;Василий;Виталиевич;494-048-927 90;16.10.1978
Чечеткин;Антон;Евгеньевич;619-038-063 00;18.09.1992
Махнев;Герасим;Виталиевич;728-034-564 28;16.05.1945
Фурашов;Анатолий;Андреевич;749-371-159 62;28.11.1979
Филягин;Яков;Андреевич;959-859-215 60;30.08.1956
Имаров;Эдуард;Георгиевич;851-137-205 65;05.01.2003
Туберозов;Александр;Игоревич;282-517-148 39;13.08.1949
Товтин;Руслан;Леонидович;089-982-904 73;24.06.2005
Базлов;Александр;Юриевич;290-014-149 00;09.05.2007
Бажулин;Георгий;Вадимович;658-720-112 27;04.01.1948
Черепов;Владислав;Василиевич;851-240-488 57;29.10.1961
Мистюков;Эдуард;Борисович;481-520-007 36;01.02.1968
Часточкин;Руслан;Евгеньевич;843-487-180 29;08.11.2003
Даминский;Валентин;Алексеевич;525-859-894 60;15.12.2004
Комотин;Алексей;Яковлевич;401-362-096 26;24.10.1991
Самсаев;Кирилл;Михаилович;840-188-847 11;14.07.1956
Урпин;Дмитрий;Сергеевич;910-070-380 59;21.07.1953
Деребизов;Кирилл;Кириллович;276-597-926 26;06.01.2003
Ломанцов;Артур;Василиевич;165-157-179 88;06.05.1996
Язанчев;Ярослав;Викторович;404-971-457 71;14.09.2003
Гучев;Валерий;Максимович;593-107-808 44;09.05.1970
Белоградов;Юрий;Юриевич;279-912-742 31;09.11.2004
Канардов;Дмитрий;Алексиевич;341-810-217 64;29.05.1999
Дымницкий;Юрий;Вадимович;749-622-396 79;20.08.1974
Цукров;Тарас;Евгеньевич;738-267-094 64;03.01.1982
Сморыжов;Виктор;Михаилович;363-273-007 73;24.07.1951
Карказов;Виталий;Виталиевич;434-761-888 37;31.07.1988
Коротицкий;Никита;Денисович;381-560-161 62;02.06.1968
Щекатуров;Григорий;Адамович;430-985-568 28;03.02.1964
Алешинцев;Никита;Денисович;686-565-998 92;03.10.1956
Шиконин;Валерий;Яковлевич;049-369-763 02;19.12.1957
Храменков;Пётр;Антонович;887-112-083 82;25.08.1976
Капфов;Леонид;Антонович;074-451-989 40;18.09.1955
Строев;Евгений;Юриевич;470-898-763 21;21.03.1963
Посикунов;Игорь;Данилович;541-763-804 22;09.02.1967
Прощалыкин;Георгий;Леонидович;944-868-637 19;24.10.1952
Бармусов;Михаил;Василиевич;018-143-022 17;28.05.1961
Лекторский;Пётр;Данилович;353-573-909 88;03.02.1957
Кореньков;Евгений;Юриевич;146-252-576 60;26.09.1954
Зволинский;Олег;Максимович;346-196-791 92;22.06.1967
Череватых;Владимир;Сергеевич;938-060-861 16;07.07.1958
Утюгов;Юрий;Викторович;381-093-989 54;06.08.1951
Гировский;Артур;Павлович;777-823-425 24;06.01.1987
Пиридреев;Юрий;Леонидович;004-827-026 98;23.02.1998
Пузеев;Игорь;Фёдорович;114-918-565 80;04.12.2007
Гильманов;Вячеслав;Евгеньевич;918-233-505 83;08.06.1943
Цепалов;Степан;Яковлевич;696-516-249 70;20.01.1966
Точенов;Олег;Максимович;752-950-384 47;14.10.1980
Авсаапогов;Григорий;Валериевич;564-220-309 76;19.01.1956
Коломанов;Федор;Кириллович;015-913-092 100;08.01.1995
Зимнов;Эдуард;Валериевич;420-899-121 03;05.07.1944
Бодряков;Григорий;Тимофеевич;972-524-162 84;05.05.1964
Лисаконов;Константин;Сергеевич;893-569-328 92;07.07.1957
Пулков;Евгений;Борисович;418-222-828 44;03.04.2005
Черменинов;Никита;Данилович;376-395-274 69;29.09.1961
Монетов;Георгий;Олегович;667-297-903 64;15.08.1985
Маресев;Олег;Тимофеевич;463-631-010 90;22.10.1952
Жаглин;Пётр;Василиевич;612-173-988 28;03.09.1975
Козельцев;Руслан;Романович;337-178-974 25;29.12.1983
Арифулов;Денис;Данилович;745-674-262 28;15.12.2001
Шергулов;Геннадий;Петрович;130-470-728 38;10.07.1969
Ващенков;Николай;Андреевич;076-300-957 53;03.07.1982
Мурагин;Максим;Аркадиевич;345-806-664 64;05.01.1987
Шанишев;Николай;Иванович;109-005-857 60;24.01.2001
Болякин;Никита;Романович;180-608-063 95;14.09.1968
Каманов;Андрей;Данилович;083-886-437 96;06.12.1943
Дружин;Владимир;Петрович;808-191-414 87;07.01.1953
Жингалов;Антон;Михаилович;468-882-060 00;06.04.1993
Ментьев;Василий;Алексеевич;987-445-478 16;21.02.1943
Кратынский;Василий;Михаилович;790-586-997 85;05.06.2000
Лисагоров;Николай;Павлович;464-198-210 70;01.02.1980
Терехин;Юрий;Данилович;732-519-855 88;23.10.1988
Петляков;Александр;Аркадиевич;034-599-928 46;11.01.1985
Сашенков;Денис;Вадимович;306-848-224 21;31.10.1988
Новодеров;Максим;Иванович;137-214-855 47;14.11.2000
Некрутов;Олег;Данилович;363-292-846 78;08.08.1979
Шутьков;Денис;Николаевич;405-978-039 89;18.09.2007
Голещихин;Станислав;Викторович;469-304-458 58;19.04.1951
Чехарев;Эдуард;Иванович;265-192-690 44;14.08.1997
Кобыльский;Игорь;Леонидович;220-810-893 45;16.04.1983
Гагуев;Альберт;Николаевич;166-065-622 97;02.10.1960
Серобабов;Павел;Яковлевич;189-538-900 22;22.12.1984
Дондоков;Пётр;Андреевич;017-884-268 02;08.02.1943
Могилевцев;Аркадий;Олегович;258-530-537 29;19.09.2003
Квитницкий;Леонид;Викторович;083-174-939 07;03.07.1958
Милков;Виталий;Евгеньевич;934-252-702 65;23.08.2008
Серадский;Ярослав;Романович;196-081-619 53;21.01.1950
Кальский;Юрий;Иванович;713-921-491 17;19.10.2004
Шенев;Виталий;Сергеевич;648-557-933 84;28.03.1944
Тырдин;Павел;Михаилович;655-458-658 26;15.03.1995
Пипаев;Ярослав;Михаилович;684-926-311 80;14.01.1967
Обинский;Артур;Иванович;052-581-500 40;14.12.1965
Бадин;Георгий;Иванович;383-762-996 47;02.11.1962
Шепенин;Павел;Михаилович;367-451-933 35;07.01.1959
Милявский;Семён;Петрович;745-095-819 98;23.11.1977
Чиндушкин;Тарас;Виталиевич;998-975-404 51;16.08.1977
Шавлев;Степан;Вадимович;726-873-949 49;12.09.1992
Инаров;Альберт;Сергеевич;593-277-343 31;13.02.2003
Бархинцев;Вячеслав;Леонидович;922-539-997 70;29.12.1998
Махнушин;Валерий;Вадимович;330-712-689 95;18.02.1993
Павлиев;Григорий;Тимофеевич;308-491-686 05;12.01.1968
Сереберцев;Владислав;Фёдорович;848-476-472 70;18.12.1966
Печоров;Павел;Петрович;104-257-449 75;14.07.1964
Кашковский;Павел;Романович;268-297-879 89;05.06.1983
Могилев;Вячеслав;Аркадиевич;524-372-507 12;15.06.1969
Шеворошнин;Олег;Евгеньевич;903-113-603 36;22.08.1976
Коваев;Константин;Георгиевич;886-464-328 59;27.11.1952
Борзых;Виктор;Вадимович;197-904-175 45;17.11.2006
Дустов;Илья;Михаилович;688-884-916 16;17.03.1974
Полчин;Вячеслав;Антонович;489-755-216 39;20.02.1984
Кадырбаев;Виктор;Максимович;793-778-264 87;09.11.2008
Губницкий;Борис;Фёдорович;880-262-021 14;07.07.1944
Любилкин;Роман;Фёдорович;014-000-266 57;01.10.2002
Плеухов;Аркадий;Аркадиевич;830-432-850 87;04.01.1962
Лягинсков;Михаил;Фёдорович;192-993-332 22;05.07.1962
Тазагулов;Никита;Олегович;585-007-848 83;21.06.1967
Атнилов;Иван;Петрович;598-528-729 19;29.08.1989
Щипилов;Анатолий;Петрович;912-924-076 36;25.11.1988
Шпяков;Яков;Василиевич;895-618-051 93;04.03.1974
Алышаев;Степан;Сергеевич;982-563-261 00;01.05.2002
Шлеков;Николай;Романович;162-049-251 84;01.06.1997
Крещенков;Кирилл;Данилович;595-614-687 10;03.05.1989
Маракушев;Валентин;Денисович;988-344-612 00;30.09.1958
Бирюлев;Никита;Тимофеевич;908-028-202 40;18.07.1995
Пармутин;Семён;Николаевич;312-413-023 10;10.02.1950
Гостенков;Артём;Борисович;395-304-117 74;15.10.1982
Кобцев;Аркадий;Михаилович;381-374-268 71;04.05.1950
Валлиулин;Аркадий;Фёдорович;966-074-972 80;19.04.1989
Батин;Геннадий;Антонович;585-455-459 03;20.02.1944
Патрушев;Герасим;Борисович;109-539-270 20;31.01.1983
Волжов;Кирилл;Павлович;676-475-314 14;23.08.1949
Бродовских;Иван;Алексеевич;540-469-561 46;21.09.1947
Тумушев;Виталий;Яковлевич;569-805-085 52;05.08.1996
Актысев;Степан;Романович;112-592-921 12;14.07.1994
Дрюченков;Максим;Виталиевич;288-004-874 54;28.05.1965
Вавичкин;Игорь;Данилович;909-474-874 09;27.12.1993
Барсов;Яков;Иванович;479-160-785 82;10.03.1977
Козмин;Иван;Василиевич;059-026-289 86;06.02.2004
Скитаев;Павел;Вадимович;726-038-203 53;11.10.1987
Ляшов;Денис;Алексиевич;764-377-053 18;24.04.1999
Крандышев;Валерий;Данилович;894-698-095 20;28.05.1951
Голохов;Владимир;Викторович;332-932-329 36;11.01.1956
Другунцев;Вадим;Георгиевич;387-809-200 60;07.08.1963
Гуднов;Федор;Борисович;521-486-213 82;13.12.1950
Сарафин;Ярослав;Данилович;161-082-265 09;28.05.1972
Флягин;Василий;Виталиевич;381-127-615 05;23.12.1986
Витовцев;Вячеслав;Михаилович;252-523-615 94;06.11.1954
Востокин;Иван;Сергеевич;141-450-185 04;14.09.1992
Евлентьев;Кирилл;Петрович;579-093-162 10;27.02.1957
Зощин;Никита;Сергеевич;817-552-196 63;29.11.1987
Васильков;Денис;Алексеевич;892-066-552 25;16.04.1958
Тиховский;Владимир;Кириллович;904-443-393 34;14.06.1956
Сыресенков;Андрей;Адамович;740-277-502 82;04.12.1962
Рыжев;Олег;Павлович;412-648-779 51;15.07.1960
Сазиков;Борис;Романович;574-326-958 16;02.10.1993
Пальчицкий;Валерий;Алексиевич;016-147-760 19;25.04.1968
Словесных;Никита;Павлович;957-773-785 33;20.06.1987
Кожемякин;Геннадий;Аркадиевич;541-213-242 32;09.11.1962
Формакидов;Вадим;Валериевич;707-925-876 25;25.02.2005
Борисков;Федор;Аркадиевич;100-611-221 93;17.07.1980
Прутовых;Владислав;Петрович;256-582-836 83;04.08.1952
Емельшин;Александр;Андреевич;792-169-018 31;21.12.1948
Аверкеев;Артём;Михаилович;647-260-691 34;05.10.1962
Авданин;Василий;Кириллович;019-897-108 67;03.03.1982
Чиченов;Герасим;Евгеньевич;102-715-058 19;14.10.1963
Гривнин;Вячеслав;Михаилович;306-988-287 42;18.12.1984
Меднов;Семён;Тимофеевич;743-904-558 78;28.05.1950
Орынянский;Иван;Павлович;418-941-982 87;01.09.1991
Хайрулин;Олег;Валериевич;353-514-801 63;09.08.1943
Гандеров;Валентин;Антонович;260-303-589 72;31.05.1964
Шнякин;Герасим;Василиевич;160-213-500 95;22.09.2008
Стряпчев;Пётр;Тимофеевич;848-485-796 59;01.07.1952
Юничкин;Михаил;Георгиевич;854-413-777 85;04.01.2008
Лейковский;Виктор;Борисович;916-409-015 76;03.08.1982
Дюлгеров;Максим;Вадимович;775-423-826 45;21.06.1970
Шпалецкий;Валентин;Алексиевич;286-787-475 26;26.03.1943
Симоянов;Артур;Кириллович;817-272-301 34;27.04.1971
Индионков;Семён;Валериевич;798-068-469 33;12.09.1980
Кутынов;Михаил;Тимофеевич;255-758-091 47;15.10.1969
Прыков;Георгий;Антонович;933-202-244 49;24.03.1964
Пестров;Эдуард;Юриевич;863-416-192 16;22.10.1954
Латфулин;Роман;Антонович;901-193-211 30;08.10.1959
Селезнев;Герасим;Яковлевич;907-802-377 56;19.10.1981
Любимкин;Владимир;Леонидович;533-941-687 04;10.09.1998
Толстенев;Юрий;Павлович;224-430-139 93;05.03.1982
Изжеуров;Геннадий;Петрович;644-602-123 31;25.12.1945
Сушинов;Игорь;Романович;605-965-639 17;24.06.2004
Вралев;Иван;Максимович;151-134-980 24;21.11.1960
Изенков;Яков;Павлович;300-665-827 71;12.09.1948
Выскочков;Андрей;Фёдорович;501-097-426 31;07.05.1980
Бойков;Денис;Данилович;719-861-714 34;09.04.1976
Варнавский;Анатолий;Алексиевич;485-792-102 68;27.08.1972
Щекутьев;Владислав;Алексиевич;665-840-618 47;18.09.1953
Сорокин;Герасим;Викторович;177-778-709 28;10.12.1943
Забельский;Леонид;Кириллович;477-068-083 42;29.10.1973
Гречкоедов;Владислав;Юрьевич;881-209-544 27;17.12.1973
Масинов;Игорь;Василиевич;681-796-166 89;23.08.2002
Диких;Илья;Евгеньевич;473-949-536 98;17.12.1951
Тумский;Денис;Фёдорович;538-973-942 84;18.03.1946
Куриленков;Андрей;Виталиевич;526-240-386 32;07.09.1986
Деятов;Леонид;Аркадиевич;315-372-363 09;14.05.1982
Аржанников;Михаил;Михаилович;286-142-502 45;09.11.1948
Семагин;Кирилл;Юриевич;979-348-271 42;08.06.1966
Щегирев;Константин;Сергеевич;816-558-573 85;17.04.1973
Гайтанов;Максим;Олегович;284-099-271 44;18.02.1948
Чаплинский;Василий;Фёдорович;624-685-744 80;26.09.1975
Вялов;Денис;Павлович;377-734-083 30;26.12.1950
Кнутов;Тарас;Павлович;124-150-404 31;02.11.2000
Помошков;Геннадий;Евгеньевич;502-622-835 22;04.08.1959
Хазеев;Яков;Борисович;982-511-087 24;27.07.2002
Шакицкий;Аркадий;Алексиевич;950-395-313 92;29.04.1951
Погребков;Денис;Алексиевич;691-624-796 13;17.07.1990
Макоев;Станислав;Евгеньевич;948-809-181 42;27.04.1950
Сигидин;Олег;Виталиевич;162-133-403 31;08.10.1971
Ласуков;Николай;Аркадиевич;932-291-942 33;03.10.1981
Толмазов;Анатолий;Валериевич;641-472-198 78;14.03.2002
Манапкин;Валерий;Евгеньевич;249-758-190 55;29.11.1957
Яндульский;Олег;Вадимович;575-997-308 95;04.03.2007
Арлев;Илья;Евгеньевич;497-804-627 60;18.04.1979
Алашеев;Григорий;Кириллович;292-632-402 45;07.09.1956
Аленшин;Иван;Иванович;267-993-121 94;02.07.1976
Пацекин;Ярослав;Леонидович;388-957-847 53;22.10.2005
Бражников;Олег;Адамович;339-436-379 09;29.08.1960
Лошилов;Станислав;Леонидович;987-693-114 12;17.09.2004
Девишев;Степан;Михаилович;263-838-232 05;02.12.2002
Агеносов;Вадим;Леонидович;992-231-888 05;24.04.1987
Ваневский;Александр;Михаилович;713-869-010 66;05.11.1961
Мурзаев;Артём;Андреевич;352-557-539 95;09.06.1969
Зеновьев;Никита;Сергеевич;917-730-194 26;04.10.1964
Шляпцев;Григорий;Валериевич;461-937-578 31;30.03.1970
Панекин;Геннадий;Павлович;722-845-049 53;08.09.1988
Маньшавин;Ярослав;Вадимович;623-518-336 27;15.03.2005
Буйских;Григорий;Тимофеевич;557-090-502 56;13.03.1950
Курепов;Илья;Игоревич;110-660-993 71;30.01.1985
Бутков;Константин;Петрович;356-008-464 25;26.08.1993
Юзеев;Павел;Максимович;195-437-914 54;16.08.1948
Шамяков;Георгий;Иванович;406-321-073 58;06.11.1959
Аржеухов;Вадим;Адамович;355-237-920 04;22.10.1968
Редичев;Евгений;Алексеевич;323-716-799 48;14.03.1985
Тычинский;Илья;Олегович;035-586-394 95;21.07.1957
Кострин;Григорий;Евгеньевич;900-250-235 51;28.02.1999
Рязапов;Алексей;Сергеевич;474-356-445 46;16.12.1979
Уманцев;Валерий;Яковлевич;023-023-232 15;04.09.1982
Чечнев;Борис;Алексеевич;061-438-888 46;07.01.1983
Анчевский;Иван;Кириллович;172-961-587 08;28.05.1982
Камягин;Владислав;Аркадиевич;593-392-985 28;03.07.1986
Чепенков;Яков;Валериевич;343-657-416 39;07.07.1961
Катчиев;Герасим;Адамович;726-346-869 38;11.06.1982
Приходцев;Руслан;Тимофеевич;601-706-860 16;28.05.1958
Ахрошеев;Ярослав;Михаилович;854-774-943 87;03.07.1972
Орликов;Павел;Викторович;333-254-159 42;30.09.1955
Болычевцев;Илья;Борисович;888-323-666 74;10.09.1999
Мобибочов;Илья;Борисович;673-494-529 93;08.07.1977
Хуринов;Тарас;Фёдорович;494-388-931 73;11.01.1987
Саловатов;Иван;Игоревич;273-278-712 26;29.01.1999
Ханецкий;Максим;Павлович;010-389-893 20;06.01.1976
Елиулов;Геннадий;Фёдорович;238-549-746 10;24.08.1960
Харибин;Виктор;Василиевич;676-272-800 75;29.11.1985
Болховский;Дмитрий;Олегович;760-102-614 45;06.04.2003
Бучукин;Евгений;Адамович;013-788-906 95;06.04.1950
Езекин;Яков;Павлович;577-913-539 84;21.11.2000
